N,set,ch,OV,duration
225,SET1,1,3.5,1962.0
225,SET1,1,4.5,2215.0
225,SET1,1,7.0,216.0
225,SET1,2,3.5,1408.0
225,SET1,2,4.5,2098.0
225,SET1,2,7.0,1809.0
225,SET1,3,3.5,1503.0
225,SET1,3,7.0,1450.0
225,SET2,1,3.5,1311.0
225,SET2,1,4.5,1342.0
225,SET2,1,7.0,782.0
225,SET2,2,3.5,441.0
225,SET2,2,4.5,1639.0
225,SET2,2,7.0,720.0
225,SET2,3,3.5,224.0
225,SET2,3,4.5,1997.0
225,SET2,3,7.0,1524.0
247,SET1,1,4.5,1501.0
247,SET1,1,7.0,1075.0
247,SET1,2,4.5,1266.0
247,SET1,2,7.0,1595.0
247,SET1,3,4.5,1446.0
247,SET1,3,7.0,1005.0
247,SET2,1,3.5,1475.0
247,SET2,1,4.5,1391.0
247,SET2,1,7.0,554.0
247,SET2,2,3.5,1268.0
247,SET2,2,4.5,1219.0
247,SET2,2,7.0,1306.0
247,SET2,3,3.5,1818.0
247,SET2,3,4.5,1105.0
247,SET2,3,7.0,1330.0
295,SET1,1,3.5,1517.0
295,SET1,1,4.5,1096.0
295,SET1,1,7.0,704.0
295,SET1,2,3.5,522.0
295,SET1,2,4.5,1546.0
295,SET1,2,7.0,786.0
295,SET1,3,4.5,701.0
295,SET1,3,7.0,1068.0
295,SET2,1,4.5,1313.0
295,SET2,1,7.0,925.0
295,SET2,2,4.5,1535.0
295,SET2,2,7.0,172.0
295,SET2,3,4.5,197.0
295,SET2,3,7.0,1596.0
310,SET1,1,3.5,1872.0
310,SET1,1,4.5,1568.0
310,SET1,1,7.0,830.0
310,SET1,2,3.5,491.0
310,SET1,2,4.5,1462.0
310,SET1,2,7.0,1169.0
310,SET1,3,3.5,1174.0
310,SET1,3,4.5,1571.0
310,SET1,3,7.0,1094.0
310,SET2,1,3.5,1707.0
310,SET2,1,4.5,1176.0
310,SET2,1,7.0,335.0
310,SET2,2,3.5,169.0
310,SET2,2,4.5,1489.0
310,SET2,2,7.0,814.0
310,SET2,3,3.5,60.0
310,SET2,3,4.5,1616.0
310,SET2,3,7.0,1162.0
337,SET1,1,3.5,1696.0
337,SET1,1,4.5,1846.0
337,SET1,1,7.0,167.0
337,SET1,2,3.5,3144.0
337,SET1,2,4.5,227.0
337,SET1,2,7.0,1942.0
337,SET1,3,3.5,1317.0
337,SET1,3,4.5,1910.0
337,SET1,3,7.0,1037.0
337,SET2,1,3.5,1886.0
337,SET2,1,4.5,1526.0
337,SET2,1,7.0,665.0
337,SET2,2,3.5,594.0
337,SET2,2,4.5,1454.0
337,SET2,2,7.0,1065.0
337,SET2,3,3.5,2197.0
337,SET2,3,4.5,1587.0
337,SET2,3,7.0,1441.0
