N,set,ch,OV,duration,N_events
225,SET1,1,3.5,1962.0,5787
225,SET1,1,4.5,2215.0,7351
225,SET1,1,7.0,216.0,5304
225,SET1,2,3.5,1408.0,5125
225,SET1,2,4.5,2098.0,6373
225,SET1,2,7.0,1809.0,6846
225,SET1,3,3.5,1503.0,5077
225,SET1,3,7.0,1450.0,6364
225,SET2,1,3.5,1311.0,5777
225,SET2,1,4.5,1342.0,5150
225,SET2,1,7.0,782.0,6163
225,SET2,2,3.5,441.0,5430
225,SET2,2,4.5,1639.0,6074
225,SET2,2,7.0,720.0,5584
225,SET2,3,3.5,224.0,5363
225,SET2,3,4.5,1997.0,6378
225,SET2,3,7.0,1524.0,7064
247,SET1,1,4.5,1501.0,5229
247,SET1,1,7.0,1075.0,5094
247,SET1,2,4.5,1266.0,5500
247,SET1,2,7.0,1595.0,5532
247,SET1,3,4.5,1446.0,4988
247,SET1,3,7.0,1005.0,5202
247,SET2,1,3.5,1475.0,5561
247,SET2,1,4.5,1391.0,5355
247,SET2,1,7.0,554.0,7459
247,SET2,2,3.5,1268.0,5078
247,SET2,2,4.5,1219.0,5417
247,SET2,2,7.0,1306.0,5879
247,SET2,3,3.5,1818.0,6352
247,SET2,3,4.5,1105.0,4715
247,SET2,3,7.0,1330.0,5313
295,SET1,1,3.5,1517.0,5201
295,SET1,1,4.5,1096.0,5067
295,SET1,1,7.0,704.0,5137
295,SET1,2,3.5,522.0,5167
295,SET1,2,4.5,1546.0,6165
295,SET1,2,7.0,786.0,5173
295,SET1,3,4.5,701.0,5047
295,SET1,3,7.0,1068.0,5076
295,SET2,1,4.5,1313.0,5170
295,SET2,1,7.0,925.0,5397
295,SET2,2,4.5,1535.0,6273
295,SET2,2,7.0,172.0,6276
295,SET2,3,4.5,197.0,5056
295,SET2,3,7.0,1596.0,6482
310,SET1,1,3.5,1872.0,5678
310,SET1,1,4.5,1568.0,5041
310,SET1,1,7.0,830.0,5094
310,SET1,2,3.5,491.0,5046
310,SET1,2,4.5,1462.0,5431
310,SET1,2,7.0,1169.0,5253
310,SET1,3,3.5,1174.0,6946
310,SET1,3,4.5,1571.0,5106
310,SET1,3,7.0,1094.0,5685
310,SET2,1,3.5,1707.0,5296
310,SET2,1,4.5,1176.0,5761
310,SET2,1,7.0,335.0,5321
310,SET2,2,3.5,169.0,5544
310,SET2,2,4.5,1489.0,5033
310,SET2,2,7.0,814.0,6229
310,SET2,3,3.5,60.0,5081
310,SET2,3,4.5,1616.0,5390
310,SET2,3,7.0,1162.0,5027
337,SET1,1,3.5,1696.0,5790
337,SET1,1,4.5,1846.0,6610
337,SET1,1,7.0,167.0,5449
337,SET1,2,3.5,3144.0,10300
337,SET1,2,4.5,227.0,6796
337,SET1,2,7.0,1942.0,8341
337,SET1,3,3.5,1317.0,5039
337,SET1,3,4.5,1910.0,7117
337,SET1,3,7.0,1037.0,5403
337,SET2,1,3.5,1886.0,5221
337,SET2,1,4.5,1526.0,5215
337,SET2,1,7.0,665.0,5041
337,SET2,2,3.5,594.0,5234
337,SET2,2,4.5,1454.0,5890
337,SET2,2,7.0,1065.0,6959
337,SET2,3,3.5,2197.0,6932
337,SET2,3,4.5,1587.0,5637
337,SET2,3,7.0,1441.0,5073
